A_YEAR: Year of survey,B_COUNTRY: ISO 3166-1 numeric country code,N_REGION_ISO: Region ISO 3166-2,H_URBRURAL: Urban-Rural,Q260: Sex,X003R: Age recoded (6 intervals),Q272: Language at home,Q273: Marital status,Q275R: Highest educational level: Respondent (recoded into 3 groups),Q287: Social class (subjective),Q2: Important in life: Friends,Q3: Important in life: Leisure time,Q4: Important in life: Politics,Q5: Important in life: Work,Q6: Important in life: Religion,Q18: Neighbors: Drug addicts,Q19: Neighbors: People of a different race,Q20: Neighbors: People who have AIDS,Q21: Neighbors: Immigrants/foreign workers,Q22: Neighbors: Homosexuals,Q23: Neighbors: People of a different religion,Q24: Neighbors: Heavy drinkers,Q25: Neighbors: Unmarried couples living together,Q26: Neighbors: People who speak a different language,Q27: One of main goals in life has been to make my parents proud,Q29: Men make better political leaders than women do,Q30: University is more important for a boy than for a girl,Q31: Men make better business executives than women do,Q32: Being a housewife just as fulfilling,Q33: Jobs scarce: Men should have more right to a job than women,Q34: Jobs scarce: Employers should give priority to (nation) people than immigrants,Q43: Future changes: Less importance placed on work,Q44: Future changes: More emphasis on technology,Q45: Future changes: Greater respect for authority,Q58: Trust: Your family,Q59: Trust: Your neighborhood,Q60: Trust: People you know personally,Q61: Trust: People you meet for the first time,Q62: Trust: People of another religion,Q63: Trust: People of another nationality,Q64: Confidence: Churches,Q65: Confidence: Armed Forces,Q66: Confidence: The Press,Q67: Confidence: Television,Q68: Confidence: Labor Unions,Q69: Confidence: The Police,Q70: Confidence: Justice System/Courts,Q71: Confidence: The Government,Q72: Confidence: The Political Parties,Q73: Confidence: Parliament,Q74: Confidence: The Civil Services,Q77: Confidence: Major Companies,Q79: Confidence: The Environmental Protection Movement,Q80: Confidence: The Women's Movement,Q81: Confidence: Charitable or humanitarian organizations,Q83: Confidence: The United Nations (UN),Q106: Incomes should be made more equal vs There should be greater incentives for individual effort,Q107: Private vs state ownership of business,Q108: Government's vs individual's responsibility,Q109: Competition good or harmful,Q110: Success: hard work vs luck,Q111: Protecting environment vs. Economic growth,Q151: Willingness to fight for country,Q152: Aims of country: first choice,Q154: Aims of respondent: first choice,"Q158: Science and technology are making our lives healthier, easier, and more comfortable","Q159: Because of science and technology, there will be more opportunities for the next generation",Q160: We depend too much on science and not enough on faith,"Q163: The world is better off, or worse off, because of science and technology",Q177: Justifiable: Claiming government benefits to which you are not entitled,Q178: Justifiable: Avoiding a fare on public transport,Q180: Justifiable: Cheating on taxes,Q181: Justifiable: Someone accepting a bribe in the course of their duties,Q182: Justifiable: Homosexuality,Q184: Justifiable: Abortion,Q185: Justifiable: Divorce,Q187: Justifiable: Suicide,Q189: Justifiable: For a man to beat his wife,Q235: Political system: Having a strong leader who does not have to bother with parliament and elections,"Q236: Political system: Having experts, not government, make decisions according to what they think is best for the country",Q237: Political system: Having the army rule,Q238: Political system: Having a democratic political system,Q241: Democracy: Governments tax the rich and subsidize the poor,Q242: Democracy: Religious authorities interpret the laws,Q243: Democracy: People choose their leaders in free elections,Q244: Democracy: People receive state aid for unemployment,Q245: Democracy: The army takes over when government is incompetent,Q246: Democracy: Civil rights protect people’s liberty against oppression,Q249: Democracy: Women have the same rights as men,Q250: Importance of democracy,Q251: How democratically is this country being governed today,Q253: Respect for individual human rights nowadays,Q254: National pride
2018,Iraq,IQ-BB Babil,Rural,Female,25-34,Arabic,Married,Higher,Lower middle class,Very important,Rather important,Not at all important,Rather important,Very important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Don't know,Disagree,Agree,Disagree,Neither agree nor disagree,Agree strongly,Good thing,Good thing,Don't mind,Trust completely,Trust somewhat,Trust somewhat,Do not trust at all,Don't know,Don't know,Quite a lot,A great deal,Not very much,Quite a lot,Don't know,Quite a lot,Quite a lot,Not very much,None at all,None at all,Quite a lot,None at all,Quite a lot,Quite a lot,A great deal,Not very much,4,5,8,8,8,Economy growth and creating jobs,No,Making sure this country has strong defence forces,Maintaining order in the nation,8,9,7,7,4,Never justifiable,4,Never justifiable,No answer,4,6,Never justifiable,2,Don't know,Fairly good,Don't know,Fairly good,4,4,9,7,6,8,5,9,4,Not much respect,Very proud
2018,Iraq,IQ-BB Babil,Rural,Female,16-24,Arabic,Single,Middle,Working class,Rather important,Very important,Not very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Disagree,Strongly disagree,Disagree,Agree,Agree strongly,Agree strongly,Bad thing,Don't mind,Don't mind,Trust completely,Do not trust very much,Trust somewhat,Do not trust very much,Do not trust at all,Do not trust at all,A great deal,A great deal,Not very much,None at all,Don't know,Quite a lot,None at all,None at all,None at all,None at all,Not very much,Not very much,Don't know,Not very much,Not very much,None at all,2,Private ownership of business should be increased,People should take more responsibility to provide for themselves,9,"In the long run, hard work usually brings a better life",Protecting environment,No,Seeing that people have more say about how  are done at their jobs and in their communities,Giving people more say in important government decisions,7,9,9,A lot better off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,3,Never justifiable,Never justifiable,Very good,Fairly good,Fairly bad,Very good,4,7,An essential characteristic of democracy,An essential characteristic of democracy,9,8,3,7,Not at all democratic,No respect at all,Quite proud
2018,Iraq,IQ-BB Babil,Rural,Male,55-64,Arabic,Married,Middle,Lower middle class,Very important,Rather important,Very important,Very important,Rather important,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Disagree,Strongly disagree,Disagree,Don't know,Disagree strongly,Agree strongly,Bad thing,Good thing,Don't know,Trust completely,Trust somewhat,Trust somewhat,Do not trust very much,Trust completely,Trust completely,Not very much,Not very much,None at all,None at all,Quite a lot,None at all,None at all,None at all,Not very much,None at all,Not very much,None at all,None at all,Not very much,None at all,None at all,2,Private ownership of business should be increased,People should take more responsibility to provide for themselves,9,3,Other answer,Don't know,A high level of economic growth,Maintaining order in the nation,Completely agree,9,7,9,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,4,Never justifiable,Never justifiable,Very bad,Very good,Very bad,Very good,8,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,4,An essential characteristic of democracy,An essential characteristic of democracy,Absolutely important,4,No respect at all,Very proud
2018,Iraq,IQ-BB Babil,Rural,Female,25-34,Arabic,Married,Higher,Upper class,Very important,Very important,Rather important,Very important,Very important,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree strongly,Agree,Bad thing,Bad thing,Good thing,Trust completely,Do not trust at all,Do not trust at all,Do not trust at all,Do not trust at all,Do not trust at all,A great deal,Quite a lot,A great deal,A great deal,A great deal,Quite a lot,None at all,None at all,None at all,None at all,Not very much,None at all,None at all,None at all,A great deal,None at all,Incomes should be made more equal,Private ownership of business should be increased,People should take more responsibility to provide for themselves,8,2,Protecting environment,No,Making sure this country has strong defence forces,Protecting freedom of speech,8,9,Completely agree,8,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very good,Very good,Fairly good,Very good,2,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,9,9,An essential characteristic of democracy,Absolutely important,Not at all democratic,No respect at all,Quite proud
2018,Iraq,IQ-BB Babil,Rural,Female,16-24,Arabic,Single,Middle,Upper middle class,Very important,Very important,Rather important,Very important,Very important,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree strongly,Don't mind,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Trust somewhat,Do not trust very much,Do not trust very much,A great deal,A great deal,Quite a lot,Quite a lot,Quite a lot,A great deal,Quite a lot,Quite a lot,Not very much,Not very much,A great deal,Quite a lot,A great deal,A great deal,A great deal,Quite a lot,4,6,8,5,9,Protecting environment,Yes,A high level of economic growth,Protecting freedom of speech,9,9,8,8,2,2,2,Never justifiable,No answer,Never justifiable,5,Never justifiable,Never justifiable,Fairly good,Fairly good,Fairly bad,Fairly good,4,4,9,7,5,6,9,8,7,Fairly much  respect,Very proud
2018,Iraq,IQ-BB Babil,Rural,Female,35-44,Arabic,Married,Lower,Working class,Rather important,Rather important,Rather important,Rather important,Very important,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Agree strongly,Agree,Disagree,Agree,No answer,Agree,Agree,Bad thing,Good thing,Don't mind,Trust completely,Do not trust very much,Do not trust very much,Do not trust at all,Do not trust at all,Do not trust at all,Quite a lot,Quite a lot,Not very much,Quite a lot,Not very much,Quite a lot,Quite a lot,None at all,None at all,None at all,Quite a lot,Don't know,Quite a lot,Quite a lot,Quite a lot,None at all,Incomes should be made more equal,3,9,5,8,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Fighting rising prices,8,7,5,7,6,Never justifiable,9,Never justifiable,No answer,5,5,Never justifiable,3,Very good,Don't know,Fairly good,Fairly bad,9,8,9,9,8,8,5,5,2,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Male,55-64,Arabic,Married,Lower,Lower middle class,Rather important,Rather important,Not at all important,Very important,Very important,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Trust somewhat,Do not trust at all,Do not trust at all,Not very much,A great deal,Not very much,A great deal,A great deal,A great deal,Quite a lot,Quite a lot,None at all,Not very much,Quite a lot,None at all,None at all,Quite a lot,A great deal,Quite a lot,Incomes should be made more equal,Private ownership of business should be increased,People should take more responsibility to provide for themselves,Competition is good,"In the long run, hard work usually brings a better life",Economy growth and creating jobs,Yes,A high level of economic growth,Maintaining order in the nation,Completely agree,5,Completely disagree,A lot better off,Never justifiable,5,Never justifiable,5,No answer,5,Never justifiable,Never justifiable,Never justifiable,Fairly good,Fairly good,Fairly good,Fairly good,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Absolutely important,4,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Male,55-64,Arabic,Married,Lower,Working class,Very important,Very important,Very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree,Agree,Agree strongly,Agree,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust completely,Trust somewhat,Trust somewhat,Don't know,Not very much,Quite a lot,A great deal,Not very much,Not very much,Not very much,Quite a lot,None at all,None at all,None at all,A great deal,A great deal,Quite a lot,Not very much,None at all,A great deal,There should be greater incentives for individual effort,Government ownership of business should be increased,People should take more responsibility to provide for themselves,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,Completely agree,Completely agree,5,A lot better off,Always justifiable,Always justifiable,Always justifiable,Always justifiable,No answer,5,Never justifiable,Never justifiable,Never justifiable,Very good,Very good,Fairly bad,Fairly bad,An essential characteristic of democracy,5,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Absolutely important,Not at all democratic,A great deal of respect,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Male,55-64,Arabic,Married,Higher,Upper class,Very important,Rather important,Rather important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Agree,Agree strongly,Agree strongly,Agree strongly,Agree,Good thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,Do not trust at all,A great deal,A great deal,A great deal,A great deal,Not very much,Quite a lot,Quite a lot,A great deal,Not very much,Quite a lot,Not very much,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Incomes should be made more equal,5,People should take more responsibility to provide for themselves,Competition is good,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,A high level of economic growth,Maintaining order in the nation,5,Completely agree,5,A lot better off,Always justifiable,Always justifiable,Always justifiable,Always justifiable,No answer,Always justifiable,Never justifiable,Never justifiable,Never justifiable,Fairly good,Fairly good,Fairly good,Fairly bad,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,5,5,An essential characteristic of democracy,Not at all important,Not at all democratic,Fairly much  respect,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Female,55-64,Arabic,Married,Middle,Working class,Very important,Very important,Rather important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Agree strongly,Agree,Disagree,Agree,Disagree,Agree strongly,Agree,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Trust somewhat,Trust somewhat,Trust somewhat,Trust somewhat,Not very much,Not very much,Not very much,Not very much,Not very much,Not very much,A great deal,Quite a lot,None at all,None at all,None at all,Don't know,Not very much,Quite a lot,Quite a lot,Don't know,Incomes should be made more equal,Government ownership of business should be increased,People should take more responsibility to provide for themselves,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,A high level of economic growth,Maintaining order in the nation,Completely agree,Completely agree,Completely disagree,5,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,5,Never justifiable,Never justifiable,Fairly good,Fairly good,Fairly bad,Fairly good,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,5,Absolutely important,Not at all democratic,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Male,55-64,Arabic,Married,Middle,Working class,Very important,Very important,Very important,Rather important,Rather important,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree,Good thing,Good thing,Good thing,Trust completely,Trust completely,Trust somewhat,Trust completely,Don't know,Trust somewhat,A great deal,A great deal,A great deal,A great deal,Quite a lot,A great deal,A great deal,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Quite a lot,A great deal,Not very much,Incomes should be made more equal,Private ownership of business should be increased,People should take more responsibility to provide for themselves,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Economy growth and creating jobs,Yes,Seeing that people have more say about how  are done at their jobs and in their communities,Maintaining order in the nation,Completely agree,Completely agree,Completely agree,A lot better off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Fairly good,Fairly bad,Very good,Very good,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,Absolutely important,9,Not much respect,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Male,55-64,Arabic,Single,Higher,Lower middle class,Very important,Not very important,Rather important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Disagree,Agree,Don't know,Agree strongly,Neither agree nor disagree,No answer,Good thing,Good thing,Trust completely,Trust completely,Trust somewhat,Trust somewhat,Trust completely,Trust somewhat,Not very much,Quite a lot,Not very much,Not very much,Quite a lot,Not very much,None at all,None at all,None at all,None at all,Quite a lot,Quite a lot,Quite a lot,None at all,Quite a lot,Quite a lot,Incomes should be made more equal,9,People should take more responsibility to provide for themselves,Competition is harmful,Hard work doesn't generally bring success - it's more a matter of luck and connections,Other answer,Yes,A high level of economic growth,Protecting freedom of speech,Completely agree,Completely agree,9,A lot better off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very good,Very good,Fairly good,Very good,An essential characteristic of democracy,8,An essential characteristic of democracy,An essential characteristic of democracy,9,9,An essential characteristic of democracy,Absolutely important,Not at all democratic,Fairly much  respect,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Female,55-64,Arabic,Married,Lower,Working class,Very important,Very important,Not at all important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Strongly disagree,Agree strongly,Agree strongly,Good thing,Don't mind,Don't mind,Trust completely,Trust somewhat,Trust somewhat,Do not trust at all,Trust completely,Do not trust at all,Not very much,A great deal,Don't know,Don't know,Don't know,Don't know,Don't know,None at all,None at all,None at all,Quite a lot,None at all,None at all,None at all,Quite a lot,Don't know,7,7,8,9,2,Protecting environment,No,Making sure this country has strong defence forces,Maintaining order in the nation,2,2,4,2,2,2,2,2,No answer,2,2,2,Never justifiable,Very bad,Don't know,Don't know,Don't know,2,Not an essential characteristic of democracy,9,9,9,Not an essential characteristic of democracy,Not an essential characteristic of democracy,8,2,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Male,55-64,Arabic,Married,Lower,Working class,Very important,Very important,Very important,Very important,Very important,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Good thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,Do not trust at all,A great deal,A great deal,A great deal,None at all,A great deal,A great deal,A great deal,A great deal,None at all,None at all,A great deal,A great deal,Don't know,Don't know,Don't know,Don't know,2,2,8,2,9,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,9,9,2,8,3,2,2,2,No answer,2,2,2,2,Very good,Very bad,Very good,Don't know,8,8,8,8,8,8,5,9,2,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Female,45-54,Arabic,Married,Lower,Working class,Very important,Very important,Rather important,Very important,Very important,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Strongly disagree,Disagree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,Do not trust at all,None at all,Not very much,Quite a lot,None at all,None at all,Quite a lot,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,None at all,2,2,9,2,9,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,8,9,3,2,2,2,2,2,No answer,2,2,2,2,Very bad,Very bad,Very bad,Very bad,9,9,9,9,9,9,9,2,2,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Male,55-64,Arabic,Married,Lower,Lower middle class,Very important,Very important,Very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Strongly disagree,Agree strongly,Strongly disagree,Disagree,Agree strongly,Agree strongly,Bad thing,Good thing,Don't mind,Trust completely,Trust somewhat,Trust completely,Trust somewhat,Trust completely,Trust somewhat,None at all,A great deal,None at all,Quite a lot,No answer,A great deal,Quite a lot,None at all,None at all,None at all,Quite a lot,None at all,No answer,No answer,No answer,No answer,3,5,9,9,9,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,9,9,6,9,2,2,2,2,No answer,2,2,2,2,Very bad,Fairly good,Very bad,Very bad,9,2,9,9,9,9,9,9,2,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Male,65 and more years,Arabic,Married,Lower,Upper middle class,Very important,Very important,Not very important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Agree strongly,Agree strongly,Disagree,Agree strongly,Disagree,Agree,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,Do not trust very much,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,None at all,None at all,A great deal,A great deal,A great deal,A great deal,A great deal,None at all,Incomes should be made more equal,Government ownership of business should be increased,People should take more responsibility to provide for themselves,Competition is good,"In the long run, hard work usually brings a better life",Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,Completely agree,Completely agree,Completely agree,A lot better off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very good,Fairly good,Very good,Fairly bad,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,Absolutely important,Not at all democratic,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Female,45-54,Arabic,Widowed,Lower,Working class,Very important,Very important,Very important,Very important,Very important,Mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree strongly,Disagree,Agree strongly,Agree strongly,Agree,Good thing,Good thing,Good thing,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,Trust completely,A great deal,Not very much,Not very much,Not very much,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,2,9,9,8,9,Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,9,8,2,7,2,2,2,2,No answer,2,2,2,2,Very good,Very good,Very good,Very good,9,3,9,9,9,9,9,9,9,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Female,55-64,Arabic,Widowed,Lower,Lower middle class,Very important,Very important,Not at all important,Very important,Very important,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Strongly disagree,Strongly disagree,Strongly disagree,Agree strongly,Agree,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust somewhat,Trust somewhat,Do not trust at all,Do not trust at all,A great deal,A great deal,Not very much,Not very much,Don't know,A great deal,A great deal,Quite a lot,Don't know,None at all,A great deal,None at all,Not very much,Quite a lot,A great deal,No answer,There should be greater incentives for individual effort,Government ownership of business should be increased,5,Competition is harmful,2,Protecting environment,Yes,A high level of economic growth,Maintaining order in the nation,Completely agree,Completely agree,2,A lot better off,5,2,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,Never justifiable,Very good,Very good,Very bad,Fairly good,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Absolutely important,5,Fairly much  respect,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Female,55-64,Arabic,Single,Lower,Working class,Very important,Very important,Not very important,Very important,Very important,Mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Strongly disagree,Strongly disagree,Agree,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,Do not trust at all,A great deal,A great deal,Don't know,None at all,Don't know,A great deal,Quite a lot,None at all,None at all,None at all,None at all,Don't know,Don't know,Don't know,Don't know,Don't know,There should be greater incentives for individual effort,Government ownership of business should be increased,The government should take more responsibility to ensure that everyone is provided for,Competition is harmful,"In the long run, hard work usually brings a better life",Protecting environment,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,Completely agree,Completely agree,Completely disagree,A lot worse off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,Never justifiable,Never justifiable,5,Very good,Very good,Very bad,Fairly good,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,7,Not an essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Absolutely important,Not at all democratic,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Female,55-64,Arabic,Married,Lower,Lower middle class,Very important,Very important,Not at all important,Very important,Very important,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Trust somewhat,Do not trust very much,Do not trust at all,Do not trust at all,Do not trust at all,A great deal,A great deal,Don't know,Not very much,Don't know,Quite a lot,Quite a lot,Quite a lot,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,A great deal,None at all,There should be greater incentives for individual effort,Government ownership of business should be increased,2,9,9,Economy growth and creating jobs,Yes,Making sure this country has strong defence forces,Maintaining order in the nation,Completely agree,Completely agree,Completely disagree,A lot better off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,Never justifiable,5,Never justifiable,5,Fairly good,Very bad,Very bad,Fairly bad,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,Not an essential characteristic of democracy,An essential characteristic of democracy,4,Absolutely important,4,No respect at all,Very proud
2018,Iraq,IQ-AN Al Anbar,Rural,Male,45-54,Arabic,Married,Middle,Working class,Very important,Very important,Rather important,Very important,Very important,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Agree strongly,Agree,Strongly disagree,Disagree,Agree strongly,Agree,Agree strongly,Bad thing,Good thing,Good thing,Trust completely,Do not trust very much,Do not trust very much,Do not trust at all,Trust somewhat,Do not trust at all,None at all,A great deal,Not very much,None at all,None at all,Quite a lot,Not very much,Quite a lot,None at all,None at all,Quite a lot,None at all,None at all,None at all,Quite a lot,None at all,There should be greater incentives for individual effort,Government ownership of business should be increased,The government should take more responsibility to ensure that everyone is provided for,Competition is good,"In the long run, hard work usually brings a better life",Protecting environment,Yes,Making sure this country has strong defence forces,Giving people more say in important government decisions,Completely agree,Completely agree,Completely agree,A lot better off,Never justifiable,Never justifiable,Never justifiable,Never justifiable,No answer,2,6,Never justifiable,Never justifiable,Very good,Very good,Very good,Fairly good,An essential characteristic of democracy,2,9,An essential characteristic of democracy,An essential characteristic of democracy,An essential characteristic of democracy,8,Absolutely important,Not at all democratic,No respect at all,Very proud
